Year,Album,Artist,Win
2020,"When We All Fall Asleep, Where Do We Go?",Billie Eilish,1
2020,"I, I",Bon Iver,0
2020,Norman Fucking Rockwell!,Lana Del Rey,0
2020,"Thank U, Next",Ariana Grande,0
2020,I Used to Know Her,H.E.R.,0
2020,7,Lil Nas X,0
2020,Cuz I Love You (Deluxe),Lizzo,0
2020,Father of the Bride,Vampire Weekend,0
2010,Fearless,Taylor Swift,1
2010,Big Whiskey & the GrooGrux King,Dave Matthews Band,0
2010,The E.N.D.,The Black Eyed Peas,0
2010,The Fame,Lady Gaga,0
2010,I Am... Sasha Fierce,Beyoncé,0
2011,The Suburbs,Arcade Fire,1
2011,The Fame Monster,Lady Gaga,0
2011,Need You Now,Lady Antebellum,0
2011,Recovery,Eminem,0
2011,Teenage Dream,Katy Perry,0
2012,21,Adele,1
2012,Born This Way,Lady Gaga,0
2012,Doo-Wops & Hooligans,Bruno Mars,0
2012,Loud,Rihanna,0
2012,Wasting Light,Foo Fighters,0
2013,Babel,Mumford & Sons,1
2013,Blunderbuss,Jack White,0
2013,Channel Orange,Frank Ocean,0
2013,El Camino,The Black Keys,0
2013,Some Nights,Fun.,0
2014,Random Access Memories,Daft Punk,1
2014,The Blessed Unrest,Sara Bareilles,0
2014,"Good Kid, M.A.A.D City",Kendrick Lamar,0
2014,The Heist,Macklemore & Ryan Lewis,0
2014,Red,Taylor Swift,0
2015,Morning Phase,Beck,1
2015,Beyoncé,Beyoncé,0
2015,Girl,Pharrell Williams,0
2015,In the Lonely Hour,Sam Smith,0
2015,x,Ed Sheeran,0
2016,1989,Taylor Swift,1
2016,Beauty Behind the Madness,The Weeknd,0
2016,Sound & Color,Alabama Shakes,0
2016,To Pimp a Butterfly,Kendrick Lamar,0
2016,Traveller,Chris Stapleton,0
2017,25,Adele,1
2017,Lemonade,Beyoncé,0
2017,Purpose,Justin Bieber,0
2017,A Sailor's Guide to Earth,Sturgill Simpson,0
2017,Views,Drake,0
2018,24K Magic,Bruno Mars,1
2018,"""Awaken, My Love!""",Childish Gambino,0
2018,DAMN.,Kendrick Lamar,0
2018,4:44,Jay-Z,0
2018,Melodrama,Lorde,0
2019,Golden Hour,Kacey Musgraves,1
2019,Beerbongs & Bentleys,Post Malone,0
2019,"Black Panther: The Album, Music from and Inspired By",Various Artists,0
2019,"By the Way, I Forgive You",Brandi Carlile,0
2019,Dirty Computer,Janelle Monáe,0
2019,H.E.R.,H.E.R.,0
2019,Invasion of Privacy,Cardi B,0
2019,Scorpion,Drake,0
2000,Supernatural,Santana,1
2000,FanMail,TLC,0
2000,Fly,Dixie Chicks,0
2000,Millennium,Backstreet Boys,0
2000,When I Look in Your Eyes,Diana Krall,0
2001,Two Against Nature,Steely Dan,1
2001,Kid A,Radiohead,0
2001,The Marshall Mathers LP,Eminem,0
2001,Midnite Vultures,Beck,0
2001,You're the One,Paul Simon,0
2002,"O Brother, Where Art Thou? Soundtrack",Various Artists,1
2002,Acoustic Soul,India.Arie,0
2002,All That You Can't Leave Behind,U2,0
2002,Love and Theft,Bob Dylan,0
2002,Stankonia,OutKast,0
2003,Come Away with Me,Norah Jones,1
2003,The Eminem Show,Eminem,0
2003,Home,Dixie Chicks,0
2003,Nellyville,Nelly,0
2003,The Rising,Bruce Springsteen,0
2004,Speakerboxxx/The Love Below,OutKast,1
2004,Elephant,The White Stripes,0
2004,Fallen,Evanescence,0
2004,Justified,Justin Timberlake,0
2004,Under Construction,Missy Elliott,0
2005,Genius Loves Company,Ray Charles & Various Artists,1
2005,American Idiot,Green Day,0
2005,The College Dropout,Kanye West,0
2005,Confessions,Usher,0
2005,The Diary of Alicia Keys,Alicia Keys,0
2006,How to Dismantle an Atomic Bomb,U2,1
2006,Chaos and Creation in the Backyard,Paul McCartney,0
2006,The Emancipation of Mimi,Mariah Carey,0
2006,Late Registration,Kanye West,0
2006,Love. Angel. Music. Baby.,Gwen Stefani,0
2007,Taking the Long Way,Dixie Chicks,1
2007,Continuum,John Mayer,0
2007,FutureSex/LoveSounds,Justin Timberlake,0
2007,St. Elsewhere,Gnarls Barkley,0
2007,Stadium Arcadium,Red Hot Chili Peppers,0
2008,River: The Joni Letters,Herbie Hancock,1
2008,Back to Black,Amy Winehouse,0
2008,"Echoes, Silence, Patience & Grace",Foo Fighters,0
2008,Graduation,Kanye West,0
2008,These Days,Vince Gill,0
2009,Raising Sand,Robert Plant & Alison Krauss,1
2009,In Rainbows,Radiohead,0
2009,Tha Carter III,Lil Wayne,0
2009,Viva la Vida or Death and All His Friends,Coldplay,0
2009,Year of the Gentleman,Ne-Yo,0
1990,Nick of Time,Bonnie Raitt,1
1990,The End of the Innocence,Don Henley,0
1990,The Raw & the Cooked,Fine Young Cannibals,0
1990,Full Moon Fever,Tom Petty,0
1990,Traveling Wilburys Vol. 1,Traveling Wilburys,0
1991,Back on the Block,Quincy Jones & Various Artists,1
1991,...But Seriously,Phil Collins,0
1991,Mariah Carey,Mariah Carey,0
1991,Please Hammer Don't Hurt 'Em,MC Hammer,0
1991,Wilson Phillips,Wilson Phillips,0
1992,Unforgettable... with Love,Natalie Cole,1
1992,Heart in Motion,Amy Grant,0
1992,Luck of the Draw,Bonnie Raitt,0
1992,Out of Time,R.E.M.,0
1992,The Rhythm of the Saints,Paul Simon,0
1993,Unplugged,Eric Clapton,1
1993,Achtung Baby,U2,0
1993,Beauty and the Beast,Various Artists,0
1993,Diva,Annie Lennox,0
1993,Ingenue,k.d. lang,0
1994,The Bodyguard,Whitney Houston,1
1994,Automatic for the People,R.E.M.,0
1994,Kamakiriad,Donald Fagen,0
1994,River of Dreams,Billy Joel,0
1994,Ten Summoner's Tales,Sting,0
1995,MTV Unplugged,Tony Bennett,1
1995,From the Cradle,Eric Clapton,0
1995,Longing in Their Hearts,Bonnie Raitt,0
1995,Seal,Seal,0
1995,The 3 Tenors in Concert 1994,"José Carreras, Plácido Domingo & Luciano Pavarotti with Zubin Mehta",0
1996,Jagged Little Pill,Alanis Morissette,1
1996,Daydream,Mariah Carey,0
1996,"HIStory: Past, Present and Future, Book I",Michael Jackson,0
1996,Relish,Joan Osborne,0
1996,Vitalogy,Pearl Jam,0
1997,Falling into You,Celine Dion,1
1997,Mellon Collie and the Infinite Sadness,The Smashing Pumpkins,0
1997,Odelay,Beck,0
1997,The Score,The Fugees,0
1997,Waiting to Exhale: Original Soundtrack Album,Various Artists,0
1998,Time Out of Mind,Bob Dylan,1
1998,The Day,Babyface,0
1998,Flaming Pie,Paul McCartney,0
1998,OK Computer,Radiohead,0
1998,This Fire,Paula Cole,0
1999,The Miseducation of Lauryn Hill,Lauryn Hill,1
1999,Come on Over,Shania Twain,0
1999,The Globe Sessions,Sheryl Crow,0
1999,Ray of Light,Madonna,0
1999,Version 2.0,Garbage,0
1959,The Music from Peter Gunn,Henry Mancini,1
1960,Come Dance with Me!,Frank Sinatra,1
1961,The Button-Down Mind of Bob Newhart,Bob Newhart,1
1962,Judy at Carnegie Hall,Judy Garland,1
1963,The First Family,Vaughn Meader,1
1964,The Barbra Streisand Album,Barbra Streisand,1
1965,Getz/Gilberto,Stan Getz & João Gilberto,1
1966,September of My Years,Frank Sinatra,1
1967,A Man and His Music,Frank Sinatra,1
1968,Sgt. Pepper's Lonely Hearts Club Band,The Beatles,1
1969,By the Time I Get to Phoenix,Glen Campbell,1
1970,"Blood, Sweat & Tears","Blood, Sweat & Tears",1
1971,Bridge over Troubled Water,Simon & Garfunkel,1
1972,Tapestry,Carole King,1
1973,The Concert for Bangladesh,"George Harrison & Friends (Ravi Shankar, Bob Dylan, Leon Russell, Ringo Starr, Billy Preston, Eric Clapton & Klaus Voormann)",1
1974,Innervisions,Stevie Wonder,1
1975,Fulfillingness' First Finale,Stevie Wonder,1
1976,Still Crazy After All These Years,Paul Simon,1
1977,Songs in the Key of Life,Stevie Wonder,1
1978,Rumours,Fleetwood Mac,1
1979,Saturday Night Fever Soundtrack,Various Artists[A],1
1980,52nd Street,Billy Joel,1
1981,Christopher Cross,Christopher Cross,1
1982,Double Fantasy,John Lennon & Yoko Ono,1
1983,Toto IV,Toto,1
1984,Thriller,Michael Jackson,1
1985,Can't Slow Down,Lionel Richie,1
1986,No Jacket Required,Phil Collins,1
1987,Graceland,Paul Simon,1
1988,The Joshua Tree,U2,1
1989,Faith,George Michael,1
1959,Come Fly with Me,Frank Sinatra,0
1959,Ella Fitzgerald Sings the Irving Berlin Songbook,Ella Fitzgerald,0
1959,Frank Sinatra Sings for Only the Lonely,Frank Sinatra,0
1959,"Tchaikovsky: Concerto No. 1 in B Flat Minor, Op. 23",Van Cliburn,0
1960,Belafonte at Carnegie Hall,Harry Belafonte,0
1960,More Music From Peter Gunn,Henry Mancini,0
1960,Rachmaninoff Piano Concerto No. 3,Van Cliburn,0
1960,"Victory at Sea, Vol. 1",Robert Russell Bennett,0
1961,Belafonte Returns to Carnegie Hall,Harry Belafonte,0
1961,Brahms: Concerto No. 2 in B-Flat,Sviatoslav Richter,0
1961,Nice 'n' Easy,Frank Sinatra,0
1961,Puccini: Turandot,Erich Leinsdorf,0
1961,Wild Is Love,Nat King Cole,0
1962,Breakfast at Tiffany's Soundtrack,Henry Mancini,0
1962,Genius+Soul=Jazz,Ray Charles,0
1962,Great Band with Great Voices,Si Zentner & the Johnny Mann Singers,0
1962,The Nat King Cole Story,Nat King Cole,0
1962,West Side Story Soundtrack,Various Artists,0
1963,I Left My Heart in San Francisco,Tony Bennett,0
1963,Jazz Samba,Stan Getz & Charlie Byrd,0
1963,Modern Sounds in Country and Western Music,Ray Charles,0
1963,"My Son, the Folk Singer",Allan Sherman,0
1964,Bach's Greatest Hits,The Swingle Singers,0
1964,Days of Wine and Roses and Other TV Requests,Andy Williams,0
1964,Honey in the Horn,Al Hirt,0
1964,The Singing Nun,The Singing Nun,0
1965,Cotton Candy,Al Hirt,0
1965,Funny Girl (Original Broadway Cast Recording),Various Artists,0
1965,People,Barbra Streisand,0
1965,The Pink Panther,Henry Mancini,0
1966,Help!,The Beatles,0
1966,My Name Is Barbra,Barbra Streisand,0
1966,My World,Eddy Arnold,0
1966,The Sound of Music Soundtrack,Various Artists,0
1967,Color Me Barbra,Barbra Streisand,0
1967,Doctor Zhivago Soundtrack,Maurice Jarre,0
1967,Revolver,The Beatles,0
1967,What Now My Love,Herb Alpert and the Tijuana Brass,0
1968,Francis Albert Sinatra & Antonio Carlos Jobim,Frank Sinatra & Antonio Carlos Jobim,0
1968,It Must Be Him,Vikki Carr,0
1968,My Cup Runneth Over,Ed Ames,0
1968,Ode to Billie Joe,Bobbie Gentry,0
1969,Bookends,Simon & Garfunkel,0
1969,Feliciano!,José Feliciano,0
1969,Magical Mystery Tour,The Beatles,0
1969,A Tramp Shining,Richard Harris,0
1970,Abbey Road,The Beatles,0
1970,The Age of Aquarius,The 5th Dimension,0
1970,"Crosby, Stills & Nash","Crosby, Stills & Nash",0
1970,At San Quentin,Johnny Cash,0
1971,Chicago,Chicago,0
1971,Close to You,Carpenters,0
1971,Déjà Vu,"Crosby, Stills, Nash and Young",0
1971,Elton John,Elton John,0
1971,Sweet Baby James,James Taylor,0
1972,All Things Must Pass,George Harrison,0
1972,Carpenters,Carpenters,0
1972,Jesus Christ Superstar (London Production),Various Artists,0
1972,Shaft,Isaac Hayes,0
1973,American Pie,Don McLean,0
1973,Jesus Christ Superstar (Original Broadway Cast Recording),Various Artists,0
1973,Moods,Neil Diamond,0
1973,Nilsson Schmilsson,Nilsson,0
1974,Behind Closed Doors,Charlie Rich,0
1974,The Divine Miss M,Bette Midler,0
1974,Killing Me Softly,Roberta Flack,0
1974,There Goes Rhymin' Simon,Paul Simon,0
1975,Back Home Again,John Denver,0
1975,Band on the Run,Paul McCartney & Wings,0
1975,Caribou,Elton John,0
1975,Court and Spark,Joni Mitchell,0
1976,Between the Lines,Janis Ian,0
1976,Captain Fantastic and the Brown Dirt Cowboy,Elton John,0
1976,Heart Like a Wheel,Linda Ronstadt,0
1976,One of These Nights,Eagles,0
1977,Breezin',George Benson,0
1977,Chicago X,Chicago,0
1977,Frampton Comes Alive!,Peter Frampton,0
1977,Silk Degrees,Boz Scaggs,0
1978,Aja,Steely Dan,0
1978,Hotel California,Eagles,0
1978,JT,James Taylor,0
1978,Star Wars Soundtrack,John Williams conducting the London Symphony Orchestra,0
1979,Even Now,Barry Manilow,0
1979,Grease Original Soundtrack Album,Various Artists,0
1979,Running on Empty,Jackson Browne,0
1979,Some Girls,The Rolling Stones,0
1980,Minute by Minute,The Doobie Brothers,0
1980,The Gambler,Kenny Rogers,0
1980,Bad Girls,Donna Summer,0
1980,Breakfast in America,Supertramp,0
1981,Glass Houses,Billy Joel,0
1981,The Wall,Pink Floyd,0
1981,Trilogy: Past Present Future,Frank Sinatra,0
1981,Guilty,Barbra Streisand,0
1982,Mistaken Identity,Kim Carnes,0
1982,Breakin' Away,Al Jarreau,0
1982,The Dude,Quincy Jones,0
1982,Gaucho,Steely Dan,0
1983,American Fool,John Cougar,0
1983,The Nightfly,Donald Fagen,0
1983,The Nylon Curtain,Billy Joel,0
1983,Tug of War,Paul McCartney,0
1984,Let's Dance,David Bowie,0
1984,An Innocent Man,Billy Joel,0
1984,Synchronicity,The Police,0
1984,Flashdance Soundtrack,Various Artists,0
1985,She's So Unusual,Cyndi Lauper,0
1985,Purple Rain,Prince & The Revolution,0
1985,Born in the U.S.A.,Bruce Springsteen,0
1985,Private Dancer,Tina Turner,0
1986,Brothers in Arms,Dire Straits,0
1986,Whitney Houston,Whitney Houston,0
1986,The Dream of the Blue Turtles,Sting,0
1986,We Are the World,USA for Africa,0
1987,So,Peter Gabriel,0
1987,Control,Janet Jackson,0
1987,The Broadway Album,Barbra Streisand,0
1987,Back in the High Life,Steve Winwood,0
1988,Whitney,Whitney Houston,0
1988,Bad,Michael Jackson,0
1988,Trio,"Dolly Parton, Linda Ronstadt, & Emmylou Harris",0
1988,Sign o' the Times,Prince,0
1989,Tracy Chapman,Tracy Chapman,0
1989,Simple Pleasures,Bobby McFerrin,0
1989,...Nothing Like the Sun,Sting,0
1989,Roll with It,Steve Winwood,0
