Year,Record,Artist,Win
2020,Bad Guy,Billie Eilish,1
2020,Hard Place,H.E.R.,0
2020,Hey Ma,Bon Iver,0
2020,Old Town Road,Lil Nas X featuring Billy Ray Cyrus,0
2020,7 Rings,Ariana Grande,0
2020,Sunflower (Spider-Man: Into the Spider-Verse),Post Malone & Swae Lee,0
2020,Talk,Khalid,0
2020,Truth Hurts,Lizzo,0
2010,Use Somebody,Kings of Leon,1
2010,Halo,Beyoncé,0
2010,I Gotta Feeling,The Black Eyed Peas,0
2010,Poker Face,Lady Gaga,0
2010,You Belong with Me,Taylor Swift,0
2011,Need You Now,Lady Antebellum,1
2011,Empire State of Mind,Jay Z featuring Alicia Keys,0
2011,F*** You,CeeLo Green,0
2011,Love the Way You Lie,Eminem featuring Rihanna,0
2011,Nothin' on You,B.o.B featuring Bruno Mars,0
2012,Rolling in the Deep,Adele,1
2012,The Cave,Mumford & Sons,0
2012,Firework,Katy Perry,0
2012,Grenade,Bruno Mars,0
2012,Holocene,Bon Iver,0
2013,Somebody That I Used to Know,Gotye featuring Kimbra,1
2013,Lonely Boy,The Black Keys,0
2013,Stronger (What Doesn't Kill You),Kelly Clarkson,0
2013,Thinkin Bout You,Frank Ocean,0
2013,We Are Never Ever Getting Back Together,Taylor Swift,0
2013,We Are Young,Fun. featuring Janelle Monáe,0
2014,Get Lucky,Daft Punk featuring Pharrell Williams & Nile Rodgers,1
2014,Blurred Lines,Robin Thicke featuring T.I. & Pharrell Williams,0
2014,Locked Out of Heaven,Bruno Mars,0
2014,Radioactive,Imagine Dragons,0
2014,Royals,Lorde,0
2015,Stay with Me (Darkchild Version),Sam Smith,1
2015,All About That Bass,Meghan Trainor,0
2015,Chandelier,Sia,0
2015,Fancy,Iggy Azalea featuring Charli XCX,0
2015,Shake It Off,Taylor Swift,0
2016,Uptown Funk,Mark Ronson featuring Bruno Mars,1
2016,Blank Space,Taylor Swift,0
2016,Can't Feel My Face,The Weeknd,0
2016,Really Love,D'Angelo & The Vanguard,0
2016,Thinking Out Loud,Ed Sheeran,0
2017,Hello,Adele,1
2017,Formation,Beyoncé,0
2017,7 Years,Lukas Graham,0
2017,Stressed Out,Twenty One Pilots,0
2017,Work,Rihanna featuring Drake,0
2018,24K Magic,Bruno Mars,1
2018,Despacito,Luis Fonsi & Daddy Yankee featuring Justin Bieber,0
2018,HUMBLE.,Kendrick Lamar,0
2018,Redbone,Childish Gambino,0
2018,The Story of O.J.,Jay-Z,0
2019,This Is America,Childish Gambino,1
2019,All the Stars,Kendrick Lamar & SZA,0
2019,God's Plan,Drake,0
2019,I Like It,"Cardi B, Bad Bunny & J Balvin",0
2019,The Joke,Brandi Carlile,0
2019,The Middle,"Zedd, Maren Morris & Grey",0
2019,Rockstar,Post Malone featuring 21 Savage,0
2019,Shallow,Lady Gaga & Bradley Cooper,0
2000,Smooth,Santana featuring Rob Thomas,1
2000,Believe,Cher,0
2000,I Want It That Way,Backstreet Boys,0
2000,Livin' la Vida Loca,Ricky Martin,0
2000,No Scrubs,TLC,0
2001,Beautiful Day,U2,1
2001,Bye Bye Bye,*NSYNC,0
2001,I Try,Macy Gray,0
2001,Music,Madonna,0
2001,Say My Name,Destiny's Child,0
2002,Walk On,U2,1
2002,Drops of Jupiter,Train,0
2002,Fallin',Alicia Keys,0
2002,Ms. Jackson,Outkast,0
2002,Video,India.Arie,0
2003,Don't Know Why,Norah Jones,1
2003,Dilemma,Nelly featuring Kelly Rowland,0
2003,How You Remind Me,Nickelback,0
2003,A Thousand Miles,Vanessa Carlton,0
2003,Without Me,Eminem,0
2004,Clocks,Coldplay,1
2004,Crazy in Love,Beyoncé featuring Jay Z,0
2004,Hey Ya!,Outkast,0
2004,Lose Yourself,Eminem,0
2004,Where Is the Love?,The Black Eyed Peas & Justin Timberlake,0
2005,Here We Go Again,Ray Charles & Norah Jones,1
2005,American Idiot,Green Day,0
2005,Heaven,Los Lonely Boys,0
2005,Let's Get It Started,The Black Eyed Peas,0
2005,Yeah,Usher featuring Lil Jon & Ludacris,0
2006,Boulevard of Broken Dreams,Green Day,1
2006,Feel Good Inc.,Gorillaz featuring De La Soul,0
2006,Gold Digger,Kanye West,0
2006,Hollaback Girl,Gwen Stefani,0
2006,We Belong Together,Mariah Carey,0
2007,Not Ready to Make Nice,Dixie Chicks,1
2007,Be Without You,Mary J. Blige,0
2007,Crazy,Gnarls Barkley,0
2007,Put Your Records On,Corinne Bailey Rae,0
2007,You're Beautiful,James Blunt,0
2008,Rehab,Amy Winehouse,1
2008,Irreplaceable,Beyoncé,0
2008,The Pretender,Foo Fighters,0
2008,Umbrella,Rihanna featuring Jay Z,0
2008,What Goes Around... Comes Around,Justin Timberlake,0
2009,Please Read the Letter,Robert Plant & Alison Krauss,1
2009,Bleeding Love,Leona Lewis,0
2009,Chasing Pavements,Adele,0
2009,Paper Planes,M.I.A.,0
2009,Viva la Vida,Coldplay,0
1998,Sunny Came Home,Shawn Colvin,1
1998,Everyday Is a Winding Road,Sheryl Crow,0
1998,I Believe I Can Fly,R. Kelly,0
1998,MMMBop,Hanson,0
1998,Where Have All the Cowboys Gone?,Paula Cole,0
1999,My Heart Will Go On,Celine Dion,1
1999,The Boy Is Mine,Brandy & Monica,0
1999,Iris,Goo Goo Dolls,0
1999,Ray of Light,Madonna,0
1999,You're Still the One,Shania Twain,0
1959,Nel Blu Dipinto Di Blu (Volare),Domenico Modugno,1
1960,Mack the Knife,Bobby Darin,1
1961,Theme from A Summer Place,Percy Faith,1
1962,Moon River,Henry Mancini,1
1963,I Left My Heart in San Francisco,Tony Bennett,1
1964,Days of Wine and Roses,Henry Mancini,1
1965,The Girl from Ipanema,Astrud Gilberto & Stan Getz,1
1966,A Taste of Honey,Herb Alpert & the Tijuana Brass,1
1967,Strangers in the Night,Frank Sinatra,1
1968,"Up, Up and Away",The 5th Dimension,1
1969,Mrs. Robinson,Simon & Garfunkel,1
1970,Aquarius/Let the Sunshine In,The 5th Dimension,1
1971,Bridge over Troubled Water,Simon & Garfunkel,1
1972,It's Too Late,Carole King,1
1973,The First Time Ever I Saw Your Face,Roberta Flack,1
1974,Killing Me Softly with His Song,Roberta Flack,1
1975,I Honestly Love You,Olivia Newton-John,1
1976,Love Will Keep Us Together,Captain & Tennille,1
1977,This Masquerade,George Benson,1
1978,Hotel California,Eagles,1
1979,Just the Way You Are,Billy Joel,1
1980,What a Fool Believes,The Doobie Brothers,1
1981,Sailing,Christopher Cross,1
1982,Bette Davis Eyes,Kim Carnes,1
1983,Rosanna,Toto,1
1984,Beat It,Michael Jackson,1
1985,What's Love Got to Do with It,Tina Turner,1
1986,We Are the World,USA for Africa,1
1987,Higher Love,Steve Winwood,1
1988,Graceland,Paul Simon,1
1989,"Don't Worry, Be Happy",Bobby McFerrin,1
1990,Wind Beneath My Wings,Bette Midler,1
1991,Another Day in Paradise,Phil Collins,1
1992,Unforgettable,Natalie Cole (With Nat King Cole),1
1993,Tears in Heaven,Eric Clapton,1
1994,I Will Always Love You,Whitney Houston,1
1995,All I Wanna Do,Sheryl Crow,1
1996,Kiss from a Rose,Seal,1
1997,Change the World,Eric Clapton,1
1959,Catch a Falling Star,Perry Como,0
1959,The Chipmunk Song (Christmas Don't Be Late),David Seville,0
1959,Fever,Peggy Lee,0
1959,Witchcraft,Frank Sinatra,0
1960,A Fool Such as I,Elvis Presley,0
1960,High Hopes,Frank Sinatra,0
1960,Like Young,André Previn,0
1960,The Three Bells,The Browns,0
1961,Are You Lonesome Tonight?,Elvis Presley,0
1961,Georgia on My Mind,Ray Charles,0
1961,Mack the Knife,Ella Fitzgerald,0
1961,Nice 'n' Easy,Frank Sinatra,0
1962,Big Bad John,Jimmy Dean,0
1962,The Second Time Around,Frank Sinatra,0
1962,Take Five,The Dave Brubeck Quartet,0
1962,(Up a) Lazy River,Si Zentner,0
1963,Desafinado,Stan Getz & Charlie Byrd,0
1963,Fly Me to the Moon Bossa Nova,Joe Harnell and His Orchestra,0
1963,I Can't Stop Loving You,Ray Charles,0
1963,What Kind of Fool Am I?,Sammy Davis Jr.,0
1964,Dominique,The Singing Nun,0
1964,Happy Days Are Here Again,Barbra Streisand,0
1964,I Wanna Be Around,Tony Bennett,0
1964,Wives and Lovers,Jack Jones,0
1965,Downtown,Petula Clark,0
1965,"Hello, Dolly!",Louis Armstrong,0
1965,I Want to Hold Your Hand,The Beatles,0
1965,People,Barbra Streisand,0
1966,Yesterday,The Beatles,0
1966,The 'In' Crowd,The Ramsey Lewis Trio,0
1966,King of the Road,Roger Miller,0
1966,The Shadow of Your Smile,Tony Bennett,0
1967,Almost Persuaded,David Houston,0
1967,"Monday, Monday",The Mamas & the Papas,0
1967,What Now My Love,Herb Alpert and the Tijuana Brass,0
1967,Winchester Cathedral,The New Vaudeville Band,0
1968,By the Time I Get to Phoenix,Glen Campbell,0
1968,My Cup Runneth Over,Ed Ames,0
1968,Ode to Billie Joe,Bobbie Gentry,0
1968,Somethin' Stupid,Nancy Sinatra & Frank Sinatra,0
1969,Harper Valley PTA,Jeannie C. Riley,0
1969,Hey Jude,The Beatles,0
1969,Honey,Bobby Goldsboro,0
1969,Wichita Lineman,Glen Campbell,0
1970,A Boy Named Sue,Johnny Cash,0
1970,Is That All There Is?,Peggy Lee,0
1970,Love Theme from Romeo and Juliet,Henry Mancini,0
1970,Spinning Wheel,"Blood, Sweat & Tears",0
1971,(They Long to Be) Close to You,Carpenters,0
1971,Everything Is Beautiful,Ray Stevens,0
1971,Fire and Rain,James Taylor,0
1971,Let it Be,The Beatles,0
1972,Joy to the World,Three Dog Night,0
1972,My Sweet Lord,George Harrison,0
1972,Theme from Shaft,Isaac Hayes,0
1972,You've Got a Friend,James Taylor,0
1973,Alone Again (Naturally),Gilbert O'Sullivan,0
1973,American Pie,Don McLean,0
1973,Song Sung Blue,Neil Diamond,0
1973,Without You,Nilsson,0
1974,"Bad, Bad Leroy Brown",Jim Croce,0
1974,Behind Closed Doors,Charlie Rich,0
1974,You Are the Sunshine of My Life,Stevie Wonder,0
1974,You're So Vain,Carly Simon,0
1975,Don't Let the Sun Go Down on Me,Elton John,0
1975,Feel Like Makin' Love,Roberta Flack,0
1975,Help Me,Joni Mitchell,0
1975,Midnight at the Oasis,Maria Muldaur,0
1976,At Seventeen,Janis Ian,0
1976,Lyin' Eyes,Eagles,0
1976,Mandy,Barry Manilow,0
1976,Rhinestone Cowboy,Glen Campbell,0
1977,Afternoon Delight,Starland Vocal Band,0
1977,50 Ways to Leave Your Lover,Paul Simon,0
1977,I Write the Songs,Barry Manilow,0
1977,If You Leave Me Now,Chicago,0
1978,Blue Bayou,Linda Ronstadt,0
1978,Don't It Make My Brown Eyes Blue,Crystal Gayle,0
1978,Evergreen (Love Theme from A Star Is Born),Barbra Streisand,0
1978,You Light Up My Life,Debby Boone,0
1979,Baker Street,Gerry Rafferty,0
1979,Feels So Good,Chuck Mangione,0
1979,Stayin' Alive,Bee Gees,0
1979,You Needed Me,Anne Murray,0
1980,After the Love Has Gone,"Earth, Wind & Fire",0
1980,I Will Survive,Gloria Gaynor,0
1980,The Gambler,Kenny Rogers,0
1980,You Don't Bring Me Flowers,Barbra Streisand & Neil Diamond,0
1981,The Rose,Bette Midler,0
1981,Lady,Kenny Rogers,0
1981,"Theme from New York, New York",Frank Sinatra,0
1981,Woman in Love,Barbra Streisand,0
1982,Arthur's Theme (Best That You Can Do),Christopher Cross,0
1982,(Just Like) Starting Over,John Lennon,0
1982,Endless Love,Diana Ross and Lionel Richie,0
1982,Just the Two of Us,Grover Washington Jr. with Bill Withers,0
1983,Steppin' Out,Joe Jackson,0
1983,Ebony and Ivory,Paul McCartney and Stevie Wonder,0
1983,Always on My Mind,Willie Nelson,0
1983,Chariots of Fire,Vangelis,0
1984,Flashdance... What a Feeling,Irene Cara,0
1984,Every Breath You Take,The Police,0
1984,All Night Long (All Night),Lionel Richie,0
1984,Maniac,Michael Sembello,0
1985,Hard Habit to Break,Chicago,0
1985,Girls Just Want to Have Fun,Cyndi Lauper,0
1985,The Heart of Rock & Roll,Huey Lewis and the News,0
1985,Dancing in the Dark,Bruce Springsteen,0
1986,Money for Nothing,Dire Straits,0
1986,The Boys of Summer,Don Henley,0
1986,The Power of Love,Huey Lewis and the News,0
1986,Born in the U.S.A.,Bruce Springsteen,0
1987,Sledgehammer,Peter Gabriel,0
1987,Greatest Love of All,Whitney Houston,0
1987,Addicted to Love,Robert Palmer,0
1987,That's What Friends Are For,"Dionne Warwick & Friends (Elton John, Gladys Knight & Stevie Wonder)",0
1988,La Bamba,Los Lobos,0
1988,I Still Haven't Found What I'm Looking For,U2,0
1988,Luka,Suzanne Vega,0
1988,Back in the High Life Again,Steve Winwood,0
1989,Giving You the Best That I Got,Anita Baker,0
1989,Fast Car,Tracy Chapman,0
1989,Man in the Mirror,Michael Jackson,0
1989,Roll With It,Steve Winwood,0
1990,The End of the Innocence,Don Henley,0
1990,She Drives Me Crazy,Fine Young Cannibals,0
1990,We Didn't Start the Fire,Billy Joel,0
1990,The Living Years,Mike + The Mechanics,0
1991,Vision of Love,Mariah Carey,0
1991,U Can't Touch This,MC Hammer,0
1991,From a Distance,Bette Midler,0
1991,Nothing Compares 2 U,Sinéad O'Connor,0
1992,(Everything I Do) I Do It for You,Bryan Adams,0
1992,Baby Baby,Amy Grant,0
1992,Something to Talk About,Bonnie Raitt,0
1992,Losing My Religion,R.E.M.,0
1993,Achy Breaky Heart,Billy Ray Cyrus,0
1993,Beauty and the Beast,Celine Dion & Peabo Bryson,0
1993,Constant Craving,k.d. lang,0
1993,Save the Best for Last,Vanessa Williams,0
1994,A Whole New World,Peabo Bryson & Regina Belle,0
1994,The River of Dreams,Billy Joel,0
1994,If I Ever Lose My Faith in You,Sting,0
1994,Harvest Moon,Neil Young,0
1995,I'll Make Love to You,Boyz II Men,0
1995,He Thinks He'll Keep Her,Mary Chapin Carpenter,0
1995,Love Sneakin' Up On You,Bonnie Raitt,0
1995,Streets of Philadelphia,Bruce Springsteen,0
1996,One Sweet Day,Mariah Carey & Boyz II Men,0
1996,Gangsta's Paradise,Coolio,0
1996,One of Us,Joan Osborne,0
1996,Waterfalls,TLC,0
1997,Give Me One Reason,Tracy Chapman,0
1997,Because You Loved Me,Celine Dion,0
1997,Ironic,Alanis Morissette,0
1997,1979,The Smashing Pumpkins,0
